 x,date,title_translate,title,searchCount,rank,words_list,"Coron-Related ( 1 yes, 0 not ) "
0,2020/01/01,Millet trademark infringement Panpei 12 million,小米商标侵权判赔1200万,10236387,1,"['小米', '商标', '侵权', '判赔', '1200', '万']",
1,2020/01/01,The Netherlands is not renamed,荷兰没有改名,9374077,2,"['荷兰', '没有', '改名']",
2,2020/01/01,Easy Yangqianxili wheat sniper,易烊千玺立麦狙击,9361741,3,"['易', '烊', '千玺', '立麦', '狙击']",
3,2020/01/01,Yang Mi Stengel chorus wolf disco,杨幂腾格尔合唱野狼disco,9115373,4,"['杨幂', '腾格尔', '合唱', '野狼', 'disco']",
4,2020/01/01,Zhang Yixing abroad to sing K,张艺兴国外唱K,8971284,5,"['张艺', '兴国', '外唱', 'K']",
5,2020/01/01,Australian citizen sea of ​​fire escape,澳洲火灾市民下海逃生,8774740,6,"['澳洲', '火灾', '市民', '下海', '逃生']",
6,2020/01/01,Deng Jiajia crying scene acting burst,邓家佳哭戏演技炸裂,8675932,7,"['邓家佳', '哭', '戏', '演技', '炸裂']",
7,2020/01/01,Yang Zi trapeze,杨紫 高空秋千,8434499,8,"['杨紫', ' ', '高空', '秋千']",
8,2020/01/01,Dilly Reba high Weiguang 2020 limited blessing,迪丽热巴高伟光2020限定祝福,8377776,9,"['迪丽', '热巴', '高伟光', '2020', '限定', '祝福']",
9,2020/01/01,"Playground buried corpse case, the former president shouted that I was wrong",操场埋尸案原校长高喊我错了,8239691,10,"['操场', '埋', '尸案', '原', '校长', '高喊', '我错', '了']",
10,2020/01/01,Xue Qian good busy,薛之谦好忙,8199474,11,"['薛之谦好', '忙']",
11,2020/01/01,Jacky Slam Dunk Teleprompter,薛之谦灌篮高手提词器,8076504,12,"['薛之谦', '灌篮', '高手', '灌篮高手', '提词', '器']",
12,2020/01/01,Wang Tan Weiwei duet,王力宏谭维维对唱,8000523,13,"['王力宏', '谭', '维维', '对唱']",
13,2020/01/01,Luhan eat sowing,鹿晗吃播,7913392,14,"['鹿晗', '吃播']",
14,2020/01/01,Cai Xu Kun site,蔡徐坤现场,7912365,15,"['蔡', '徐坤', '现场']",
15,2020/01/01,2020 good to me please,2020请对我好一点,7889518,16,"['2020', '请', '对', '我', '好', '一点']",
16,2020/01/01,Fire Fighter me,叫我火炫风,7844382,17,"['叫', '我', '火炫风']",
17,2020/01/01,Bella posting high bid farewell to Xiang,Bella发文告别高以翔,7661679,18,"['Bella', '发文', '告别', '高以翔']",
18,2020/01/01,Wang Yibo water dancing and singing,王一博水中唱跳,7659925,19,"['王一博', '水中', '唱', '跳']",
19,2020/01/01,Wang Yuan was splashed in the eyes stage fireworks,王源被舞台烟花溅到眼睛,7574042,20,"['王源', '被', '舞台', '烟花', '溅', '到', '眼睛']",
20,2020/01/01,Wang Yibo professional actions do not imitate,王一博专业动作请勿模仿,7507794,21,"['王一博', '专业', '动作', '请勿', '模仿']",
21,2020/01/01,Han Celina Jade wedding video exposure,韩庚卢靖姗婚礼视频曝光,7497219,22,"['韩庚', '卢靖姗', '婚礼', '视频', '曝光']",
22,2020/01/01,Yiyangqianxi the end of Hu Xu Li Landi photo,易烊千玺胡先煦李兰迪期末合照,7488285,23,"['易', '烊', '千玺', '胡先煦', '李兰迪', '期末', '合照']",
23,2020/01/01,Xiaozhan years MV,肖战 余年MV,7454459,24,"['肖战', ' ', '余年', 'MV']",
24,2020/01/01,Chongqing Palm Springs fire,重庆加州花园大火,7368192,25,"['重庆', '加州', '花园', '大火']",
25,2020/01/01,New Year's Eve Copywriting,跨年文案,7278679,26,"['跨年', '文案']",
26,2020/01/01,Jackson Wang JJ Cao Cao chorus,王嘉尔林俊杰合唱曹操,7257498,27,"['王嘉尔', '俊杰', '林俊杰', '合唱', '曹操']",
27,2020/01/01,Putin had an early swim with dolphins,普京早年曾与海豚游泳,7230638,28,"['普京', '早年', '曾', '与', '海豚', '游泳']",
28,2020/01/01,肖战 Chongqing,肖战 重庆,7210819,29,"['肖战', ' ', '重庆']",
29,2020/01/01,Xie Na presided over the scene in response to controversy,谢娜现场回应主持争议,7125021,30,"['谢娜', '现场', '回应', '主持', '争议']",
30,2020/01/01,Sicong Sanya New Year's Eve,王思聪三亚跨年,7106364,31,"['王思聪', '三亚', '跨年']",
31,2020/01/01,Lee now you nervous yet,李现 你紧张吗,7104290,32,"['李现', ' ', '你', '紧张', '吗']",
32,2020/01/01,TFBOYS fit New Year's Eve,TFBOYS跨年合体,7008729,33,"['\x08', 'TFBOYS', '跨年', '合体']",
33,2020/01/01,Malaysia Airlines MH319 response after take-off return,马航回应MH319起飞后返航,6977272,34,"['马航', '回应', 'MH319', '起飞', '后', '返航']",
34,2020/01/01,His New Year's Eve blessing let the tears ran,他的跨年祝福让人泪奔,6965372,35,"['他', '的', '跨', '年', '祝福', '让', '人泪', '奔']",
35,2020/01/01,Zhengzhou idle elevator began operation eight years,郑州闲置8年电梯开始运转,6823173,36,"['郑州', '闲置', '8', '年', '电梯', '开始', '运转', '开始运转']",
36,2020/01/01,Deng purple chess William Chan siblings recognize the scene,邓紫棋陈伟霆 兄妹相认现场,6757165,37,"['邓紫棋', '陈伟霆', ' ', '兄妹', '相认', '现场']",
37,2020/01/01,Carter tribute to the magic home,魔术主场致敬卡特,6730682,38,"['魔术', '主场', '致敬', '卡特']",
38,2020/01/01,Du Haitao seeking photo brutally refused,杜海涛求合影惨遭拒,6718045,39,"['杜', '海涛', '求', '合影', '惨遭', '拒']",
39,2020/01/01,Deng purple chess scene ultra-stable,邓紫棋现场超稳,6681736,40,"['邓紫棋', '现场', '超稳']",
40,2020/01/01,"Lijiang, Yunnan prosecution informed the Anti-Murder",云南检方通报丽江反杀案,6668162,41,"['云南', '检方', '通报', '丽江', '反杀案']",
41,2020/01/01,4.3 earthquake in Sichuan Zigong,四川自贡4.3级地震,6594133,42,"['四川', '自贡', '4.3', '级', '地震']",
42,2020/01/01,Wuhan South China seafood market closed for renovation,武汉华南海鲜市场休市整治,6548095,43,"['武汉', '华南', '海鲜', '市场', '休市', '整治']",
