,,title_translate,title,searchCount,"Coron-Related ( 1 yes, 0 not ) "
 2020-01-01 08:24:01, 2019-12-31 20:54:02,Chaired Xie Na,谢娜的主持,3368333,
 2020-01-01 00:52:01, 2019-12-31 16:46:01,New Year's Eve,跨年,2599465,
 2020-01-01 08:34:02, 2019-12-31 22:22:02,A too Yiyangqianxi the,易烊千玺太A了,2000970,
 2020-01-01 12:58:02, 2019-12-31 21:08:01,Lip-synching,假唱,1867253,
 2020-01-01 08:04:01, 2019-12-31 22:50:01,Wang Yibo water dancing and singing,王一博水中唱跳,1471792,
 2020-01-01 10:24:02, 2019-12-31 18:38:02,New Year's Eve Copywriting,跨年文案,1299084,
 2020-01-01 11:06:01, 2019-12-31 22:48:02,Jiefangbei New Year's Eve,重庆解放碑跨年,1270522,
 2020-01-01 11:22:02, 2019-12-31 22:34:02,Mrs Lam condolences to the Hong Kong Police Force,林郑月娥慰问香港警队,1260295,
 2020-01-01 07:34:02, 2019-12-31 20:10:02,Zhejiang Satellite TV New Year's Eve playbill,浙江卫视跨年节目单,1259453,
 2020-01-01 01:18:01, 2019-12-31 22:44:02,Lijiang family of the deceased do not agree with the withdrawal of the case against killing,死者家属不认同丽江反杀案撤诉,1259260,
 2020-01-01 07:24:01, 2019-12-31 21:32:01,Dilly Reba dancing and singing,迪丽热巴 唱跳,1192497,
 2020-01-01 09:42:02, 2019-12-06 22:28:02,Good Night SMS plan,晚安短信计划,1066537,
 2020-01-02 04:42:02, 2019-12-31 22:34:02,Sydney Fireworks,悉尼烟花,1012629,
 2020-01-01 07:34:02, 2019-12-31 20:14:02,Dragon TV New Year's Eve,东方卫视跨年,1000463,
 2020-01-01 07:38:02, 2019-12-31 20:34:02,Wang Yi Yang Mi Tengger wolf disco,杨幂腾格尔王晨艺 野狼disco,996009,
 2020-01-01 11:08:02, 2019-12-31 23:30:02,2020 Avatar,2020头像,985338,
 2020-01-01 11:06:01, 2019-12-31 23:26:02,Japanese New Year's Eve,日本跨年,899913,
 2020-01-01 12:10:02, 2019-12-31 22:48:02,Bund New Year's Eve,外滩跨年,649119,
 2020-01-01 10:10:01, 2019-12-31 23:18:01,2020 animal year,2020本命年,528076,
 2020-01-01 00:20:02, 2019-12-31 21:42:01,Hunan TV hostess makeup hair,湖南台女主持妆发,515574,
 2020-01-01 00:30:01, 2019-12-31 19:40:01,New Year's Eve,跨年晚会,418247,
 2020-01-01 07:52:01, 2019-12-31 17:16:02,2019 farewell photo,一张照片告别2019,405307,
